cluster_number,movie_indices
50,"146,382,1108,1176,1463,1559,1934,2102,2681,3313,3354,4115,5238,5518,5688,5815,7416,7543,7635,7639,7971,9298,9922,9944,10557,10926,11364,11703,12025,12704,12961,13710,13965,14167,14693,14983,15855,15967,16253,17914,17932,18278,18540,18818,19803,20544,21055,21898,22380,22494,22784,22808,22810,23210,23600,23858,24522,24543,26199,26722,26826,27177,27320,27483,27691,28001,28525,28721,30304,30338,30389,31068,31136,31613,31798,33030,33163,33164,33321,33824,33930,35047,35279,35514,35986,36117,36696,36937,37220,37460,37796,38309,38616,38916,39022,39070,39493,39585,39791,40530,40773,41516,41645,41864,42022,42174,42275,42327,42562,42587,43100,43224,43370"
51,"148,340,342,463,1040,1092,1155,1199,1281,1643,1937,2775,2835,2997,3159,3563,3902,4095,4460,4475,4687,4711,4718,4733,4802,4806,4807,4886,4953,4974,5036,5078,5112,5192,5314,5348,5619,5635,5672,5680,5903,6078,6080,6142,6148,6195,6199,6250,6554,6709,6899,6996,7326,7342,7735,8165,8173,8385,8715,8903,8974,9040,9198,9668,9718,9977,10735,10807,10861,10916,10940,10985,11423,11446,11460,12231,12566,13039,13604,13642,14603,14675,15226,15349,15780,15858,15943,16006,16045,16596,16990,17049,17183,17502,17654,18192,18580,18717,18723,19024,19106,19937,20868,20926,21008,21461,21501,21641,22053,22540,22703,23215,24201,24843,26689,26817,28444,29859,30491,30552,30893,30909,31075,31360,31944,33666,33784,34003,34557,34599,34667,34745,35540,35669,35748,36593,36904,36984,37475,37609,37616,39177,39825,40024,41178,41461,41735,41808,42128,42215,42496,42701,42871,42977,42989,43222,43403,43406,43556,43623"
52,"154,491,514,701,972,1251,4752,4887,7237,10865,14724,17882,21256,37150,41941"
53,"157,1075,6194,6369,7188,7373,8793,9701,10667,11530,12497,13818,13931,14002,14816,15190,15732,15901,16971,17427,18067,18325,18335,18518,19903,20886,21236,21614,21876,21925,22143,22647,22818,22823,22867,23699,25346,25454,25759,26000,26001,26293,26328,26352,26385,26717,27271,27595,27697,28343,28551,28731,29598,29627,29628,29922,30333,31069,31070,31283,31727,32321,32497,32542,32906,33530,33531,33951,34323,35767,35768,35932,35934,36268,36289,36562,36632,37022,37483,37613,37637,37926,38378,38391,38590,38600,38955,39497,39757,39845,40003,40572,40949,40995,41333,41583,41642,42176,42272,42339,42607,43607"
54,"159,181,221,230,246,259,260,295,375,513,718,744,779,898,899,912,914,949,952,993,1077,1089,1098,1117,1153,1262,2551,2735,2846,2887,3191,3585,3668,3720,3744,3916,3934,4368,4397,4404,4435,4446,4450,4641,4667,5331,5549,5586,5665,6086,6230,6246,6350,6415,6448,6551,6797,6827,6911,6912,7094,7401,7571,7686,7819,7969,8221,8251,8371,8503,8524,8568,8657,8812,8981,9049,9115,9158,9378,9400,9476,9608,9710,9883,9975,10022,10029,10254,10278,10348,10422,10661,11053,11315,11449,11793,12115,12163,12189,12390,12414,12557,13495,13834,13995,14131,14208,14405,14797,14799,14824,14860,15562,16101,17450,18435,18495,19611,19908,20076,20381,21504,22497,23117,23316,23321,23664,24331,24333,25682,25777,26685,27071,27224,27683,29921,31565,32765,33203,35826,37335,39321,39502,40158,40208,40755,41988,42838,43004,43593"
55,"160,393,560,1490,2066,2765,2839,3003,3187,3435,3579,3642,3759,4117,4128,4271,4291,4331,6183,6305,6547,7089,7203,7503,7560,7957,7962,8256,8268,8288,8898,8933,9156,9172,9360,9428,10081,10313,10602,10627,10768,10818,10848,10900,11009,11136,11276,11336,11448,11550,11772,11913,11934,12340,12395,12525,12600,12767,12840,13490,13540,13596,13618,13868,13870,14111,14134,14252,14520,14765,15400,15518,15549,15551,15620,15718,15765,16246,16460,16775,16856,16916,17305,18207,18707,18821,19711,19759,19966,20063,21563,22267,22648,22833,22978,23080,23976,25541,26656,26805,26873,26919,27375,27441,28488,29280,29556,29749,29930,30425,30648,30935,31777,32095,32482,33347,34083,34540,34578,34737,35443,35539,35547,35630,35646,35766,35810,35819,36239,36294,36318,37157,37677,38702,39058,39146,39244,39401,39887,40302,40539,40548,40775,41060,41329,41428,41605,41775,41942,42363,42428,42670,42683"
56,"161,3026,3321,4378,4388,11940,18001,18009,20419,25916,33559,42133,42590,43394"
57,"166,346,460,647,979,984,988,2263,2364,2672,3053,3325,3376,3380,3572,3860,3881,4106,5648,6073,6488,6507,6536,6654,6661,6749,6774,7020,8074,8253,8360,8555,8647,8837,9119,9674,9874,9964,10225,10241,10401,10441,10506,10725,10841,11132,11438,11572,11605,11776,11825,11967,12144,12219,12647,12938,12943,13104,13172,13500,14534,14548,14556,15491,16015,16399,16650,16721,17252,17652,17886,17993,18516,18892,19536,19681,19723,20057,21116,21476,21917,23121,23301,23617,23804,23805,24447,25636,25839,27193,27854,28213,29409,31024,32679,32968,33733,34511,34730,35245,35266,36506,37182,37956,39038,40229,40961,41900,42424,42446,42474,42564,43114,43597"
58,"167,545,566,863,1106,1569,2261,2705,2954,3111,3235,3385,3516,3658,3705,4443,4483,4493,4500,4686,4723,4787,4868,4926,4928,4947,5039,5046,5084,5090,5097,5103,5150,5152,5153,5157,5165,5181,5183,5209,5427,5488,5499,5616,5631,5673,5674,5693,5744,5761,5814,5830,5832,5848,5853,5857,5915,5935,5975,6026,6043,6059,6105,6131,6144,6146,6150,6201,6217,6239,6264,6271,6279,6315,6325,6376,6447,6473,6475,6574,6597,6608,6631,6635,6678,6738,6744,6902,6959,6969,7027,7028,7087,7118,7178,7274,7311,7312,7351,7361,7375,7418,7431,7454,7488,7576,7844,7896,8408,8761,8777,8783,8790,8820,8857,8900,9148,9181,9210,9232,9453,9575,9576,9593,9626,9749,9775,9779,9856,9885,9893,9954,9992,10153,10334,10345,10772,10875,10919,11137,11213,11314,11360,11393,11620,11715,11732,11771,11795,11972,11976,12158,12306,12408,13099,13118,13186,13613,13621,13753,13778,13815,13904,13935,14066,14074,14100,14132,14971,15024,15259,15316,15321,15581,15837,16105,16241,16689,17251,17355,17602,18146,18324,18666,18690,19254,19347,19649,20074,20309,20507,20557,20658,21883,22305,24229,24811,25571,25983,26063,26647,26833,26954,27217,27750,28436,29669,29695,29848,29920,29953,30146,30498,30499,30727,30801,30982,31167,31181,31266,31288,31361,31362,32082,32396,32727,33039,33270,33585,34832,34893,34965,35009,35010,35018,35563,36273,36418,36569,36583,36649,36875,38857,39164,39919,40004,40146,40148,40394,40957,41118,41276,41550,41785,41803,41931,42248,42511,42594,43255,43271,43338,43670"
59,"177,854,1187,2943,3080,3286,3502,3821,3933,4278,4419,5434,6334,6794,6796,6874,6876,7119,7123,7410,7427,7584,7647,7705,8333,8363,8364,8551,8633,8635,8861,8862,8865,8912,9151,9157,9249,9259,9354,9469,9487,9547,9615,9720,10120,10122,10127,10273,10379,10430,10893,10971,11171,11544,11643,11765,11766,11767,11769,11866,11882,11994,12068,12096,12147,12233,12339,12452,12454,12463,12482,12537,12550,12654,12671,12676,12678,12735,12797,12798,12813,12820,12839,12888,12890,12964,13011,13029,13030,13032,13043,13058,13063,13077,13098,13130,13136,13162,13211,13225,13242,13420,13436,13593,13660,13687,13693,13726,13754,13755,13789,13857,13887,13891,13892,13920,13970,14000,14030,14043,14171,14211,14225,14247,14253,14360,14427,14439,14480,14559,14580,14659,14676,14686,14737,14809,14891,15081,15102,15182,15291,15308,15367,15428,15441,15461,15503,15524,15538,15630,15830,15831,15868,15875,16005,16121,16155,16236,16408,16454,16459,16491,16588,16701,16717,16833,16938,16959,17000,17023,17039,17052,17098,17117,17118,17144,17170,17173,17237,17311,17361,17363,17399,17447,17606,17628,17691,17712,17746,17749,17832,17862,17945,17974,17975,17976,17981,18133,18246,18351,18382,18392,18437,18458,18465,18596,18773,18824,18857,18858,18890,18935,18959,19053,19144,19221,19226,19372,19543,19641,19719,19729,19761,19847,19978,20009,20010,20091,20111,20116,20199,20205,20238,20266,20299,20318,20420,20435,20458,20469,20476,20492,20500,20511,20552,20553,20611,20617,20623,20671,20698,20711,20803,20806,20812,20819,20836,20898,21005,21018,21021,21026,21036,21056,21114,21120,21124,21150,21151,21171,21233,21262,21318,21436,21554,21672,21690,21855,21918,21951,21992,22133,22187,22262,22300,22336,22474,22492,22565,22635,22672,22689,22739,22790,22828,22858,22878,22897,22898,22937,22952,23001,23152,23155,23271,23368,23405,23419,23460,23574,23585,23787,23819,23910,23918,23929,23945,23979,24036,24038,24072,24095,24119,24188,24193,24195,24243,24275,24343,24346,24367,24378,24390,24465,24477,24694,24728,24762,24837,24842,24928,24939,24976,24995,25109,25145,25159,25194,25379,25380,25405,25490,25638,25719,25763,25796,26031,26078,26254,26391,26431,26487,26501,26516,26540,26553,26572,26626,26766,26971,26989,26991,27025,27108,27248,27283,27383,27402,27468,27492,27579,27598,27705,27718,27729,27766,27768,27816,27826,27848,27852,27879,27881,27962,28049,28051,28065,28067,28105,28136,28157,28188,28210,28281,28290,28385,28554,28859,28937,28951,28959,28973,29029,29050,29051,29053,29068,29164,29187,29335,29432,29662,29996,30005,30069,30106,30208,30300,30353,30409,30439,30457,30465,30549,30603,30885,30916,31225,31286,31554,31668,31725,31815,31897,31909,31919,31920,32071,32130,32145,32269,32293,32318,32319,32454,32590,32721,32723,32790,32950,33091,33126,33167,33177,33240,33491,33527,33634,33799,33852,34054,34160,34170,34248,34345,34361,34433,34434,34494,34614,34721,34750,34815,34985,35035,35104,35142,35143,35229,35230,35233,35329,35360,35361,35422,35440,35497,35538,35589,35663,35674,35701,35702,35726,35872,35875,35902,35903,36050,36054,36091,36105,36218,36219,36265,36272,36312,36347,36381,36388,36486,36605,36613,36623,36704,36710,36794,36798,36824,36833,36898,36927,36941,36961,36970,37004,37018,37175,37181,37188,37203,37222,37317,37319,37408,37428,37438,37452,37525,37577,37646,37649,37671,37749,37848,37897,37929,37954,38059,38099,38112,38147,38158,38199,38250,38300,38394,38395,38410,38441,38481,38486,38536,38547,38563,38564,38599,38743,38749,38782,38792,38907,38914,38963,39025,39047,39086,39111,39112,39123,39214,39294,39319,39509,39566,39592,39593,39606,39835,39843,39944,39966,39977,39993,40128,40138,40167,40242,40243,40295,40367,40395,40423,40477,40488,40500,40505,40556,40557,40646,40733,40740,40770,40779,40913,40968,41043,41119,41124,41205,41209,41212,41238,41239,41245,41280,41322,41331,41383,41466,41514,41624,41683,41691,41765,41781,41788,41791,41829,41852,41857,41898,41956,41976,42015,42020,42030,42365"
60,"180,349,946,1373,1869,2531,2912,3094,3176,3197,3229,4481,4510,4670,4742,4761,4860,5168,5462,5638,5709,5766,5936,6145,6472,6962,7034,7535,7787,8148,8224,8319,9099,9140,9215,9319,9470,9852,11167,11811,15525,15664,16073,16850,16976,19289,19510,20630,21721,22176,23372,26659,26935,27435,28571,30023,31124,31770,31813,32242,33793,33827,34418,37291,38028,38795,39732,40191,41230,41618"
61,"182,267,862,1267,1772,3001,3304,4039,4441,4484,4579,4652,4817,4851,4916,5058,5137,5189,5326,5381,5594,5603,5661,5781,5862,5934,5997,6016,6065,6095,6120,6126,6135,6287,6354,6432,6540,6596,6618,6640,6690,6934,7057,7153,7517,7604,7786,7804,7827,7835,7935,7974,8119,8176,8263,8265,8352,8374,8376,8387,8540,8578,8579,8584,8649,8804,9128,9310,9433,9613,9754,9781,9946,10003,10498,10962,11129,11383,11510,11770,11987,12102,12103,12360,12475,12904,13089,13265,13467,14543,14587,14710,15523,15597,15643,15829,15895,15974,16095,16181,16209,16378,16763,16894,16901,17032,17283,17428,17480,17535,17819,18132,18197,18242,18352,19019,19040,19189,19201,19773,19996,20061,20401,20555,20758,20978,21339,21469,22213,22274,22534,22824,23943,24011,24688,24746,25317,25844,25925,26836,26883,26979,27144,27494,28476,28757,28818,29303,29357,29602,30052,30089,30152,30176,30264,30532,30835,30878,31547,32298,32575,32732,32818,33426,34044,34079,34116,34167,34197,34201,34661,34668,34716,34727,34846,34887,35292,36413,36574,37781,38185,40031,40898,41354,42202,42263,42388,42421,42525,42569,42613,42933,43017,43381,43643,43712"
62,"184,374,376,444,493,1071,1096,1122,1207,1263,1275,1402,1487,1566,2573,2777,3226,3260,3534,3547,4074,4327,4485,4747,4756,4854,5110,5136,5182,5239,5248,5301,5388,5593,5667,5740,5823,6139,6682,6766,6866,7403,7555,7561,7579,7644,7731,7798,8037,8044,8145,8236,8452,8534,8622,8694,9216,9706,9864,10133,10494,10674,10842,10927,10989,11041,11086,11283,11674,11956,12364,12658,12672,12967,13207,13416,13610,13670,13885,13998,14141,14264,14343,14521,14625,14637,14667,15059,15486,15493,15574,15648,16069,16275,16422,16640,17456,18051,18130,18586,18837,18863,19869,19906,20517,20788,21009,21052,21159,21652,22611,22733,22904,23683,23781,23917,24093,25113,25751,26177,26959,27110,27464,28276,28390,28625,29371,29459,29919,31052,31243,32431,33254,33373,34444,35765,38027,38279,39692,41758,42284"
63,"186,300,302,396,704,783,786,789,815,817,818,953,1061,1091,1148,1179,1449,1614,1803,1907,2025,2175,2345,2346,3007,3311,3399,3726,3727,3731,4256,4261,6548,6888,8716,9399,10163,10932,11497,11631,12094,12162,12844,13637,13861,14608,14801,15498,15962,16513,18828,21202,24700,25427,31331,31418,38389,40718,42653,43534,43587"
64,"203,565,618,689,1095,1422,2476,2915,3056,3659,4037,4119,4309,6508,6643,6697,6862,6878,6938,6981,9430,10054,12120,13882,14205,17718,18180,18374,18497,18612,18659,19080,19766,19826,21593,22119,27950,33676,34076,35654,37792,39050,39290,39550,42048,42067,42353,43184,43303"
65,"204,234,468,934,1517,1619,2556,2623,2624,2678,3078,3507,3536,3546,3641,3802,3805,3810,3824,3909,4088,4113,4438,4455,4501,4516,4596,4623,4717,4735,4754,4782,4825,4871,4885,4889,4951,4964,5240,5319,5340,5447,5503,5528,5557,5582,5876,6116,6140,6342,6365,6396,6409,6427,6510,6620,6739,6807,6822,6970,7204,7208,7310,7332,7481,7603,7727,7737,8142,8156,8228,8431,8445,8532,8899,9061,9078,9131,9278,9352,9375,9486,9524,9635,9742,9876,9937,9982,10309,10454,10496,10571,10759,11237,11287,11292,11408,11429,11621,11664,11783,11857,11861,11961,12179,12473,12573,12583,12655,12765,12966,13121,13134,13139,13398,13701,13886,14207,14567,14745,14917,15176,15385,15439,15762,16349,16428,16458,16483,16560,16672,16714,16823,17256,17404,17670,17792,17869,17977,18450,18494,18538,18569,18619,18636,18809,18910,19021,19800,19867,20378,20494,21620,21806,21846,22292,22542,22569,22582,22750,22998,23371,23667,23838,23937,23955,23990,24314,24773,25056,25084,25100,25310,25377,25382,25429,26280,27715,27895,27936,28249,28417,28590,28906,29202,29234,29270,29446,30315,30512,31268,31679,31680,31823,32016,33158,33942,34317,34690,35195,35221,35632,36343,36406,37232,37320,37383,37414,37600,38156,38557,39347,39699,40220,40267,41026,41080,41840,41958,42847,42850,42991,43006,43155,43158,43169"
66,"213,249,348,350,371,402,432,484,512,606,645,716,723,959,976,989,991,1032,1142,1190,1278,1282,1372,1491,1590,1668,2650,2872,3036,3267,3277,3343,3476,4159,4268,4314,4449,4826,4950,4970,4998,5040,5047,5146,5270,5313,5409,5633,5745,5780,6024,6158,6163,6219,6282,6604,6828,7232,7651,7982,8299,8388,8397,8453,8580,8628,8653,8676,8758,8882,8982,8995,8998,9068,9187,9280,9327,9727,9748,10041,10100,10210,10475,10531,10541,10547,10631,10643,10736,11005,11032,11080,11104,11147,11421,11622,11659,11834,12028,12191,12240,12253,12283,12284,12290,12321,12413,12562,12832,13424,13584,13823,13848,13897,14122,14296,14502,14591,14894,15539,15793,16104,16267,16412,16549,16611,16904,17418,17451,17729,17826,18118,18422,18649,18915,19079,19245,19557,19696,19919,19921,20288,20353,20426,20615,20828,21137,21466,22830,22881,22949,23243,24430,24606,25122,25326,25400,25516,25611,27024,27048,27064,27379,27401,27810,27984,28030,28698,29309,29693,29954,30544,31237,31310,31324,32910,33136,33259,34049,34504,34632,34911,35065,36714,36745,37229,38116,38411,38584,39348,39808,40106,40185,40333,41599,42135,42936,42954,43264,43378"
67,"214,563,607,938,2827,3781,4005,4062,4628,4629,4771,4852,4946,5004,5242,5282,5289,5394,5819,6087,6193,6273,6434,6481,6825,6998,7578,7781,8075,8252,8327,8339,8499,8687,8957,9439,9494,9857,9860,10265,10436,10489,10876,11556,11806,11848,12001,12075,12913,14694,14823,14992,15412,16357,16709,17462,19051,19764,20474,22295,24255,26093,27535,31422,31876,32793,33232,33443,33510,33716,33844,34222,34601,34840,41888,42408,42439,42986,43202,43235,43251,43277,43311,43693"
68,"217,933,935,1086,1238,1735,4072,6720,6829,7696,8067,8181,8661,10218,10413,11856,12202,12301,15286,17285,20824,31843,36527,41093"
69,"238,3131,3248,3564,4958,5323,5650,7894,8740,9395,9728,10460,11821,12398,13220,14022,14356,15139,16302,16815,17172,17346,17523,17769,19814,20300,20570,21028,21972,21989,23385,25596,25680,26465,26728,27051,27623,27665,32330,32332,32541,32564,33755,34816,35148,35271,35797,38180,38922,39223,42005,43116"
70,"263,552,684,711,1062,1799,4432,4534,5296,5482,5538,5914,6070,6500,6867,7056,7283,8163,9021,9981,10049,13362,34195,34997,42559"
71,"307,5053,6125,6474,7984,9139,9449,9483,13628,13918,14462,15572,17793,18016,25079,28577,28751,33087,33736,34842,36595,37615,40813,42055,42900"
72,"308,1685,2275,10522,10890,21447,23422,24486,29942,35568,36834,40453,42979"
73,"309,1981,13615,15927,22280,28715,29210,31627,31902,34000,37811,38592,43341"
74,"313,548,966,1073,1090,1616,1904,2330,2958,3069,3406,3413,3542,3622,3847,3938,3963,4006,4164,4249,4358,4434,4462,4491,4612,4811,4843,5111,5125,5362,5423,5460,5500,5536,6191,6292,6461,6721,6741,7054,7242,7743,7768,7812,8554,8934,9082,9116,9819,9836,9919,10658,10662,11243,11792,11832,12294,12329,12873,13513,13769,14527,14741,14804,15488,15497,15645,16284,16343,16746,18154,18570,18861,19084,19142,19329,19985,20264,22381,22743,23269,24270,24271,24272,24444,27181,27928,28704,28708,29707,29900,30053,31198,31398,33738,34324,34635,34735,35222,35432,36008,36398,36427,37641,38662,39274,39766,39909,39963,40507,40747,40840,41496,41968,41972,42018,42054,42199,42874,43013,43107,43269,43349"
75,"318,615,646,683,724,1236,1547,1693,1702,1917,1928,2150,2613,2900,3134,4420,4865,6606,10198,10718,18715,21808,21961,23724,24292,25736,25896,27134,33643"
76,"337,4813,4905,4982,4989,5717,5794,5802,6198,6371,6386,6750,7264,7300,7381,7514,7909,8036,8121,8223,8246,8779,8835,8880,8926,8928,9459,9784,9869,10031,10118,10726,10790,11619,11668,12012,12188,12539,13510,13551,13824,13980,14096,14157,14793,15444,15453,15460,16840,17542,18361,18426,19504,19679,19942,20039,20729,20869,20910,21748,22776,23826,23828,23873,25456,26882,26887,31146,32161,33474,33483,33560,36048,38355,38893,38965,41754,42220"
77,"345,8093,10637,16168,17449,17492,21333,22244,27413,29285,32412,33783,35054,37376"
78,"351,430,431,681,892,1016,1083,1114,1167,1178,1291,1478,1533,1596,1606,1691,1692,1696,1899,2173,2211,2362,2519,2574,2875,3009,3050,3054,3289,3652,5149,5254,5448,6411,6487,7093,8775,8776,9110,10109,10392,10741,11114,11307,12748,13587,13625,14118,15457,15531,17678,17786,22642,23803,24852,26392,27059,27133,27834,27855,28025,28135,28899,29629,29985,30456,30962,31775,31966,32028,32089,32193,32194,32204,32299,33644,34699,38287,39635,40659,43216"
79,"353,475,500,509,700,913,985,1246,2300,3874,4461,4605,4608,4675,4706,4750,4815,4897,4960,5041,5093,5094,5100,5428,5443,5652,5798,5820,6362,6413,6431,6479,6519,6603,6634,7164,7462,7546,8226,8430,8530,9089,9163,9288,10864,11782,11830,12420,13146,13174,13175,14047,14552,15114,15264,16065,16094,16825,16902,16912,17191,17353,17963,17994,18623,19003,20098,20101,20653,21133,21203,21600,22588,22722,22821,22876,22925,23156,23649,24719,25652,26696,27711,28357,28631,28633,29183,30075,30424,31053,31177,32097,32733,33239,34484,35548,36249,37567,38161,38471,39044,39284,39850,40696,41047,43599"
80,"354,4456,4590,4654,4778,4824,4969,5201,6622,7953,8092,8471,11075,13308,14355,15318,15420,16582,21643,25043,28718,33402,34742,40001,40255"
81,"362,400,1141,2431,2435,4572,4800,5349,6129,6842,6906,7220,9029,12465,12800,13446,13662,14526,15012,15432,16467,16750,16979,17040,18477,18749,19249,19455,19570,19574,19621,19833,21800,21824,23181,25044,25450,25671,25748,26489,27141,27527,27643,28697,29753,29755,30120,30957,32024,32359,32360,34278,36399,41523,43648"
82,"370,516,663,665,669,693,1013,1131,1140,1146,1161,1314,1391,4453,4476,4562,4609,4646,4688,4837,4845,4864,4869,4959,5034,5543,5734,5844,6106,6152,6242,6296,6352,6403,6429,6514,6652,6882,6915,8519,8879,8937,9043,9059,9436,9454,9649,9827,9847,9888,10056,10420,10966,12821,13437,17681,18293,25308,34526,34527,36173,39470,39922,43689"
83,"373,14702,21070,29886,30892,31171,31729,31851,32621,33117,39584,39932,40759"
84,"384,698,1087,1481,1537,2139,2165,2200,2612,2702,3168,3257,3451,3492,3648,4052,4063,4451,5030,5033,5216,5259,5352,5866,6045,6737,7989,8015,8932,9080,9875,10075,10324,10566,10898,10981,11088,11209,11760,11780,11915,12156,12312,12332,14003,14569,15449,15988,15997,16002,16679,16917,18503,18549,19564,19685,22691,25168,27167,28638,29001,29250,29355,29692,29796,29946,30653,30896,31466,31500,31597,33380,34115,36889,37152,39217,39366,41305,42812,43046,43647"
85,"390,2075,4517,4630,4765,4903,5475,5480,5533,5560,5608,5722,5753,6083,6096,6346,6363,6395,6485,6523,6544,6730,6967,7495,8003,8024,8219,8373,8516,8674,8751,8983,8996,9016,9028,9506,9564,9997,10837,10845,11239,11638,11671,11796,12137,12255,13860,14384,14725,15014,15346,15406,15655,17401,17528,19031,19832,20020,22592,22779,23541,24674,24856,25347,26825,27128,28241,28299,28666,28776,28901,29597,29979,30631,33074,33329,33440,34177,34335,36928,38601,39021,39039,41571,43337,43469,43692"
86,"391,594,1194,4216,5191,5950,6006,7422,8272,9275,10059,14153,14960,15325,15516,15530,16137,16616,16900,18228,21745,23125,23835,24267,24651,26191,27724,30328,33296,34120"
87,"418,7252,7631,7746,7749,7800,7893,8642,9235,9568,9657,9732,9787,9793,9796,10186,10290,12459,13780,13802,15052,15252,15481,15711,17536,22454,22457,24624,25656,25706,25984,38675,38727"
88,"420,427,449,479,505,539,546,579,583,590,604,608,729,754,796,801,917,923,1100,1103,1112,1118,1162,1174,1201,1235,1269,1285,1299,1308,1310,1325,1333,1335,1399,1440,1534,1545,1635,1707,1750,1771,1783,1784,1812,1929,1961,2000,2043,2072,2082,2127,2385,2468,2492,2496,2566,2584,2642,2666,2718,2756,2760,2772,2795,2831,2864,2873,2893,2905,2963,2992,3059,3068,3095,3099,3133,3144,3296,3301,3334,3519,3558,3674,3702,3707,3712,3730,3733,3785,3792,3851,3869,3923,3925,4008,4018,4020,4098,4118,4155,4166,4167,4228,4445,4565,5048,5204,5371,5376,5378,5385,5527,5613,6364,6471,6552,6713,6719,6855,6856,6857,6894,6939,6940,6941,6951,6977,6978,6985,6986,7171,7186,7338,7339,7425,7438,7441,7451,7559,7613,7667,7870,8046,8166,8237,8646,8725,8916,9096,9135,9269,9271,9376,9560,9671,9673,9740,9833,9983,10052,10108,10304,10870,10878,10906,10922,10990,11016,11154,11279,11327,11455,11466,11475,11525,11799,12125,12256,12363,12418,12442,12695,12696,12719,12724,12778,13051,13069,13212,13269,13270,13271,13298,13464,13588,13617,13663,13674,13696,13707,13774,13850,13883,13958,14015,14027,14070,14251,14286,14320,14436,14478,14496,14605,14614,14616,14617,14761,14772,14889,15010,15055,15235,15243,15661,15723,15783,15812,15849,15861,16043,16103,16152,16262,16332,16333,16383,16417,16507,16528,16568,16603,16644,16712,16851,16885,17047,17329,17331,17365,17371,17441,17442,17640,17731,17760,17773,17781,17840,17848,17879,17957,17966,18000,18137,18169,18177,18206,18273,18323,18366,18409,18416,18457,18492,18539,18592,18599,18613,18689,18776,18787,18879,18894,18911,18924,19004,19015,19059,19105,19275,19325,19370,19393,19458,19460,19550,19747,19748,19790,19834,19861,19933,20019,20454,20455,20502,20577,20605,20655,20722,20724,20763,20764,20873,20931,20958,21201,21258,21261,21298,21323,21344,21370,21420,21584,21585,21635,21640,21719,21974,21999,22016,22287,22302,22528,22699,22774,22777,22787,22804,22892,22959,23057,23204,23233,23275,23547,23611,23612,23614,23757,24043,24123,24159,24317,24512,24527,24583,24620,24628,24779,24953,24970,25125,25127,25307,25355,25371,25555,25583,25651,25690,25741,25831,26184,26196,26235,26270,26283,26297,26348,26416,26435,26509,26511,26541,26595,26694,26737,26807,26907,26933,27046,27047,27097,27098,27100,27136,27209,27420,27445,27689,27788,27808,27857,27921,27923,27978,27991,27992,28322,28356,28552,28560,28615,28619,28649,29024,29150,29455,29468,29489,29671,29811,30056,30081,30102,30265,30347,30454,30475,30529,30576,30656,30661,30959,31028,31253,31339,31412,31641,31928,31958,32031,32087,32121,32485,32572,32772,32777,32867,33462,33647,33734,33950,34029,34080,34186,34226,34322,34325,34568,34584,34711,34747,34858,34941,35067,35114,35139,35176,35179,35225,35297,35462,35565,35622,35623,35655,35671,35760,36084,36120,36290,36297,36361,36446,36524,36533,36608,36902,37051,37088,37168,37284,37531,37553,37623,37639,37790,37791,37987,37991,38098,38114,38235,38262,38277,38379,38419,38439,38442,38542,38574,38591,38633,38734,38790,38797,38810,38847,38894,38951,38980,39068,39142,39163,39359,39617,39633,39634,39864,39921,39962,40090,40315,40405,40586,40611,40635,40676,40691,40911,40937,41122,41442,41502,41545,41581,41740,41865,41930,41959,42046,42061,42156,42158,42205,42233,42398,42441,42453,42459,42682,42693,42734,42744,42772,42805,42814,42852,42882,42886,42924,43047,43049,43089,43154,43275,43442,43454,43477,43481,43517,43575"
89,"429,884,1017,1149,1276,1451,1628,1751,2070,2347,2449,2450,3339,3344,3686,3822,3836,4110,4700,4775,4929,5075,5129,6253,6288,6469,7061,7130,7337,7358,8588,8901,9097,9263,9638,9846,9859,9863,10010,10937,10983,11033,11260,11447,12945,13090,13152,14123,14831,15241,15490,15784,16240,16283,16321,17073,17262,17390,17498,17659,17784,17896,18472,18531,18718,18957,19225,19272,19475,19546,19755,20161,20261,20421,20442,20443,20504,20747,20987,21275,21394,21625,21786,22121,22131,22166,22312,22450,22539,22645,22700,22709,23314,23500,23924,24377,24535,24741,24769,24886,24960,25272,25477,25508,25727,25906,26369,26748,26827,26847,27276,27360,27592,28528,30162,30590,31019,31030,31604,32272,32612,32625,32874,32885,32942,33754,34081,34273,34880,34969,35284,35372,35455,35457,35537,35625,36047,36397,36542,36876,36929,37127,37453,37488,37509,37552,37821,37948,38339,38461,38628,38771,39091,39303,39600,39637,39653,39759,39782,39826,40190,40256,40330,40442,40698,40720,40727,40833,41050,41269,41387,41932,42053,42155,42190,42289,42460,42520,42801,42951,42981,43697"
90,"434,7368,7801,8557,9202,11339,11474,11555,11712,11853,12309,12401,13056,13294,13403,14079,14082,14097,14363,15583,16020,19855,20107,20335,21003,22559,22764,24897,25685,26046,35376,35377,35720,37145,37146,37601,42385"
91,"489,2400,8026,13336,15998,18819,20548,21399,28515,34679,37109,41164,41189"
92,"494,511,523,1126,3587,4773,5390,5720,9105,12570,15956,16892,18089,18385,18625,19909,19995,20851,20963,21085,21619,25625,26132,27925,28541,28944,29015,30804,31260,32554,33847,35032"
